Category,Reviews,Type,Content Rating,Genres,SizeNew,InstallsNew,PriceNew,LastUpdatedNewYear,LastUpdatedNewMonth,LastUpdatedNewDay,AndroidVerNew,ReviewGroupNew
NEWS_AND_MAGAZINES,25,0,Everyone,News & Magazines,0.18,1000,0.0,2018,5,18,4.0,1
COMMUNICATION,0,0,Everyone,Communication,0.16,100,0.0,2018,3,13,4.1,0
BUSINESS,10,0,Everyone,Business,0.027000000000000003,1000,0.0,2016,7,19,4.0,0
COMICS,438,0,Everyone,Comics,0.034,10000,0.0,2017,12,27,2.3,1
FAMILY,227,0,Teen,Educational,0.69,10000,0.0,2018,6,21,4.0,1
SHOPPING,214,0,Everyone,Shopping,0.018000000000000002,10000,0.0,2018,2,27,4.0,1
FAMILY,227,0,Everyone,Educational;Education,0.15,50000,0.0,2018,2,24,2.3,1
DATING,24,0,Mature 17+,Dating,0.049,1000,0.0,2018,7,11,4.0,1
GAME,528550,0,Teen,Arcade,0.73,10000000,0.0,2018,7,26,4.1,3
BUSINESS,236,0,Everyone,Business,0.07,50000,0.0,2018,3,9,4.0,1
FAMILY,105954,0,Teen,Simulation,0.43,10000000,0.0,2018,6,5,4.1,3
GAME,91667,0,Everyone,Arcade,0.27,1000000,0.0,2018,7,24,2.3,3
TOOLS,1283,0,Everyone,Tools,0.044000000000000004,100000,0.0,2018,8,4,4.1,2
PRODUCTIVITY,105,0,Everyone,Productivity,0.72,1000,0.0,2017,10,16,4.4,1
GAME,105620,0,Everyone 10+,Action,0.61,1000000,0.0,2018,7,16,4.1,3
SPORTS,19,0,Everyone,Sports,0.12,1000,0.0,2018,5,18,4.2,0
GAME,271214,0,Teen,Arcade,0.3928871096877502,10000000,0.0,2018,7,25,3.8377519379844967,3
EDUCATION,7005,0,Everyone,Education,0.069,1000000,0.0,2016,10,23,2.3,2
FAMILY,899748,0,Everyone,Casual,0.8,10000000,0.0,2018,8,3,4.1,3
HOUSE_AND_HOME,1450,0,Everyone,House & Home,0.09699999999999999,100000,0.0,2013,11,5,2.2,2
GAME,94661,0,Teen,Action,0.3928871096877502,1000000,0.0,2018,6,8,4.4,3
PHOTOGRAPHY,50109,0,Everyone,Photography,0.3928871096877502,10000000,0.0,2018,6,7,3.8377519379844967,3
TRAVEL_AND_LOCAL,932870,0,Everyone,Travel & Local,0.3928871096877502,50000000,0.0,2018,7,27,4.0,3
FINANCE,49,0,Everyone,Finance,0.039,10000,0.0,2017,2,24,4.1,1
SPORTS,342,0,Everyone,Sports,0.38,10000,0.0,2018,8,6,4.2,1
SOCIAL,207712,0,Everyone,Social,0.3928871096877502,10000000,0.0,2018,6,9,2.3,3
FINANCE,159,0,Everyone,Finance,0.14,1000,0.0,2017,9,12,4.0,1
WEATHER,3478,0,Everyone,Weather,0.061,500000,0.0,2018,8,2,4.2,2
SPORTS,990,0,Everyone,Sports,0.094,100000,0.0,2018,7,18,4.1,2
FINANCE,8188,0,Everyone,Finance,0.22,100000,0.0,2018,7,31,4.1,2
PRODUCTIVITY,52677,0,Everyone,Productivity,0.028999999999999998,1000000,0.0,2017,12,13,4.0,3
PERSONALIZATION,2267,0,Everyone,Personalization,0.07200000000000001,500000,0.0,2018,7,9,4.0,2
NEWS_AND_MAGAZINES,3,0,Everyone,News & Magazines,0.057,100,0.0,2018,5,26,4.1,0
NEWS_AND_MAGAZINES,13,0,Everyone,News & Magazines,0.043,1000,0.0,2016,11,1,4.4,0
TOOLS,894435,0,Teen,Tools,0.031,50000000,0.0,2018,7,1,4.0,3
MEDICAL,62,0,Everyone,Medical,0.2,5000,0.0,2014,12,15,2.3,1
PRODUCTIVITY,17,0,Everyone,Productivity,0.76,100,0.0,2016,6,7,4.4,0
PRODUCTIVITY,0,0,Everyone,Productivity,0.3928871096877502,5,0.0,2018,1,14,3.8377519379844967,0
TRAVEL_AND_LOCAL,33782,0,Everyone,Travel & Local,0.076,5000000,0.0,2018,7,11,4.0,3
PRODUCTIVITY,3,0,Everyone,Productivity,0.26,100,0.0,2018,7,9,5.0,0
SOCIAL,2036,0,Everyone,Social,0.068,100000,0.0,2018,5,20,4.0,2
SPORTS,401,0,Everyone,Sports,0.027999999999999997,10000,0.0,2017,8,9,2.3,1
NEWS_AND_MAGAZINES,69,0,Everyone,News & Magazines,0.25,5000,0.0,2017,8,24,4.4,1
